ObsTime,WS,RH,Temperature
1,1.4,91,20.9
2,2,82,19.8
3,2.4,65,21.7
4,1.9,64,22.9
5,2.1,60,24.8
6,1.9,82,21
7,2,85,19.1
8,1,90,21
9,0.5,98,20.8
10,1.9,84,22
11,1.9,84,23.6
12,1.5,80,26.3
13,0.7,74,27.5
14,0.9,83,26.3
15,0.6,83,26.7
16,1.3,78,28.3
17,0.5,92,26.3
18,1.2,86,27.8
19,0.6,72,29.5
20,0.8,89,24.2
21,2.3,55,23.1
22,0.8,59,23.6
23,1.3,81,23.6
24,2,67,26.8
25,1.2,56,27.7
26,0.9,64,27.6
27,0.5,75,27.6
28,0.5,95,23.9
29,1.8,67,22.6
30,0.9,73,25.9
31,1.1,77,27.5
