ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Temperature,RHMin,RH,WD,WSGust,WDGust,WS,Precp
1,1007,1010.8,1001.5,25.6,18.9,20.9,77,91,19,8.2,27,1.4,50.5
2,1010.9,1012.9,1008.6,21.7,18.1,19.8,68,82,73,9.3,360,2,6.5
3,1012.2,1013.9,1010.6,24.9,18.6,21.7,42,65,54,11,90,2.4,1.5
4,1010.9,1012.5,1009.2,24.3,21.4,22.9,58,64,75,9.3,85,1.9,0
5,1008,1010.2,1004.8,28.5,22.4,24.8,47,60,77,8.8,95,2.1,0
6,1008.3,1010.1,1006.1,22.8,18.8,21,63,82,81,8.2,85,1.9,13
7,1009.5,1011.1,1007.5,20.2,17.9,19.1,72,85,75,10.4,76,2,6
8,1006.7,1008.5,1004.6,23.1,19.1,21,80,90,51,7.7,20,1,1
9,1006.1,1007.6,1004.5,22.6,19.8,20.8,92,98,76,5.5,86,0.5,14.5
10,1007.2,1008.6,1005.4,24.7,19.4,22,70,84,79,8.8,95,1.9,0
11,1008.3,1009.6,1006.8,26.9,21,23.6,70,84,76,9.3,85,1.9,0
12,1007.4,1009.6,1006.8,26.9,21,26.3,70,80,54,9.3,85,1.5,0
13,1006.3,1008,1004,32,24.4,27.5,44,74,17,6.6,237,0.7,0
14,1006.1,1007.8,1004.3,29.2,24.4,26.3,73,83,306,6.6,321,0.9,0
15,1006.1,1008,1003.7,29.3,24.3,26.7,72,83,72,4.9,15,0.6,0
16,1002.9,1005.6,1000.3,31.2,25.6,28.3,60,78,256,12.1,235,1.3,0
17,1001.4,1003.9,999.1,28.4,23.8,26.3,77,92,51,8.2,266,0.5,77
18,1001.5,1003.5,999.8,30,25.2,27.8,75,86,262,9.9,267,1.2,4
19,1003,1004.8,1000.4,33.1,26,29.5,56,72,16,8.2,256,0.6,0
20,1005.6,1009.5,1001.5,28.1,22,24.2,73,89,29,7.1,332,0.8,110
21,1007.9,1009.5,1006.3,25.8,21.7,23.1,33,55,76,10.4,81,2.3,0
22,1006.7,1008,1005.1,26.2,21.2,23.6,50,59,74,5.5,94,0.8,0
23,1008.3,1010.2,1006.1,27.6,21,23.6,65,81,63,8.2,46,1.3,3.5
24,1008.4,1010.2,1006.4,30.6,23.1,26.8,53,67,71,7.7,92,2,0
25,1007.4,1009,1005.2,31.1,24.4,27.7,46,56,76,7.7,64,1.2,0
26,1006.3,1007.8,1004.6,30.8,24.4,27.6,54,64,78,6.6,345,0.9,0
27,1005.7,1006.9,1003.4,30.7,25.1,27.6,63,75,73,6.6,70,0.5,0
28,1007.3,1010.3,1004.5,27.2,20.7,23.9,82,95,70,5.5,94,0.5,98.5
29,1008.6,1010,1006.4,24.2,20.5,22.6,57,67,75,8.2,82,1.8,0
30,1006.5,1008.5,1004,30.1,21.1,25.9,56,73,78,5.5,77,0.9,0
31,1005.4,1006.9,1002.9,31.6,24.1,27.5,58,77,78,7.1,344,1.1,0
