ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Precp,RHMin,WS,WD,WSGust,WDGust,RH,Temperature
2010/1/1,1015.9,1019.2,1013.4,19.7,14.1,0,60,1.3,70,9.3,48,69,17
2010/1/2,1014.2,1016.9,1011.6,19.8,15.2,7.5,75,0.7,307,5.7,343,85,17.2
2010/1/3,1014.6,1017,1013.1,18.5,14.5,7.5,68,0.8,65,6,89,81,16.4
2010/1/4,1013.1,1014.9,1010.9,22,14.8,0,64,0.6,324,5.2,331,78,18
2010/1/5,1016.4,1019.2,1014.4,18.4,14.4,0,72,1.8,71,11.8,93,78,15.8
2010/1/6,1017.8,1019.9,1015.1,16.2,14.2,6.5,79,0.9,142,8,64,86,15.2
2010/1/7,1019.4,1021.9,1018,14.9,13.7,17.5,84,0.8,87,7.7,62,88,14.4
2010/1/8,1018,1019.9,1016.5,15.6,13.4,24,81,0.5,109,5.5,62,89,14.2
2010/1/9,1016,1017.8,1013.6,23.9,14.9,0,53,1,71,6.8,58,75,18.8
2010/1/10,1015.4,1017.6,1012.5,26,15.7,1,42,0.8,150,9.3,342,79,18.8
2010/1/11,1015.5,1018.2,1013.4,18.4,12.7,4.5,76,1.1,345,7.1,25,82,16.4
2010/1/12,1020.9,1024.4,1018.1,13.1,8.7,6,62,1.6,343,8,28,78,10.4
2010/1/13,1026,1028,1023.8,15.9,7.3,0,31,1.3,67,8,85,57,11.3
2010/1/14,1024.5,1027.6,1021.1,19.1,9.4,0,32,2.5,69,10.2,78,55,13.9
2010/1/15,1022,1023.8,1019.9,22.8,12.1,0,32,1.4,73,7.7,62,56,17.6
2010/1/16,1023.4,1025.3,1021.5,19,16.2,0,64,2,71,10.4,53,72,17.6
2010/1/17,1023.7,1025.5,1022,19.1,16.8,0,68,1.7,74,9.6,72,71,17.6
2010/1/18,1020.6,1023.2,1018.3,25.1,16.9,0,39,1.5,80,7.7,78,63,20.6
2010/1/19,1018.1,1020.8,1016.2,26.7,17,0,39,0.6,60,6.3,159,62,22.3
2010/1/20,1017.3,1019.2,1015.5,28.2,18.2,0,44,0.6,157,6.3,353,63,22.8
2010/1/21,1017.7,1021.9,1014.9,27.5,16.7,0,49,0.9,152,7.4,66,69,21.4
2010/1/22,1022.2,1023.7,1020.3,17.2,14.9,4.5,72,1.7,66,10.2,63,81,16
2010/1/23,1021.6,1023.9,1019.5,16.4,14.1,0.5,77,1.6,70,9.6,47,84,15.3
2010/1/24,1018.3,1020.9,1015.6,21.7,15.6,3,75,0.8,76,5.5,56,87,18.3
2010/1/25,1021,1025.5,1016,18.1,14.1,19.5,71,0.9,70,8.2,71,86,16.2
2010/1/26,1022.4,1025.9,1019.2,18.5,14.5,0,62,3.4,69,12.1,71,68,16.5
2010/1/27,1016.5,1019.4,1014.5,24.1,16,0,50,0.8,45,7.1,54,73,20.2
2010/1/28,1015.7,1017.7,1014.3,22.5,18.3,1.5,71,0.4,59,5.5,347,84,19.8
2010/1/29,1017.4,1020.6,1015.5,22.4,17.6,0,60,2.1,68,9.3,63,74,19.9
2010/1/30,1015.4,1017.8,1013.6,26.4,17.3,0,54,1.1,162,7.7,316,79,19.9
2010/1/31,1013.5,1015.3,1011.5,26.9,17.6,0,47,0.8,247,6.3,251,75,21.6
2010/2/1,1013.6,1016.1,1011.4,20.8,16.6,0,72,1.3,142,8.5,64,83,19
2010/2/2,1014.2,1015.8,1011.7,22,16.3,0,67,1.8,68,10.2,66,81,18.3
2010/2/3,1015.8,1018,1014.3,19.7,15.6,0.5,75,0.9,295,6,156,84,17.7
2010/2/4,1015.9,1018,1013.6,21.7,16.3,1,71,1,318,6.6,322,86,17.9
2010/2/5,1016.1,1017.7,1013.9,21.4,16.4,0,72,0.9,290,6,298,87,18
2010/2/6,1015.9,1017.6,1013.9,20.1,16.9,7,82,0.6,256,4.1,234,90,18.4
2010/2/7,1015.9,1018.1,1013.7,18.4,15.9,9,87,0.9,311,9.1,327,91,17.2
2010/2/8,1014.2,1016.9,1012.6,27.5,16.6,0,57,0.7,345,6.6,354,81,20.4
2010/2/9,1013.4,1016.5,1011.1,27,17.8,0,57,0.4,57,6.6,304,81,21.5
2010/2/10,1011.8,1014.2,1009.2,29.9,18.9,0,45,0.7,157,6,14,79,23.4
2010/2/11,1013.1,1018.3,1010.9,29.6,17,0,52,1.2,6,8.5,281,71,24
2010/2/12,1021.4,1023.3,1017.7,17.3,11.6,0,68,2.3,69,9.9,69,74,13.6
2010/2/13,1019.6,1022.7,1014.4,17,12.4,15.5,75,1.8,70,9.3,107,84,13.9
2010/2/14,1013.5,1015,1011.5,22,15.4,0,68,0.8,292,7.1,335,86,17.2
2010/2/15,1017.4,1020.5,1014.8,17.5,12.9,14,71,0.8,352,7.1,336,87,14.6
2010/2/16,1020.8,1023.3,1018.8,13.5,11.4,40,78,1,18,7.4,49,86,12.5
2010/2/17,1019.8,1022,1017.6,13.3,11.3,48,87,0.6,1,5.7,26,90,12.4
2010/2/18,1021.6,1023.6,1020.3,12.8,9.9,29.5,70,0.8,73,6.8,49,86,11.2
2010/2/19,1019.6,1021.7,1016.6,12.3,9.8,22.5,86,0.6,73,6,72,91,11
2010/2/20,1017.1,1019.4,1015.3,16.9,10.7,0.5,68,1,65,7.7,64,82,14.5
2010/2/21,1014.9,1016.1,1013.8,20.8,12.8,0,63,0.6,46,6.8,287,83,16.2
2010/2/22,1013.6,1015.5,1011.6,19.3,14.6,0,76,0.5,9,5.2,342,85,16.7
2010/2/23,1012,1014.2,1009.8,26.3,13.8,0,38,0.5,92,4.9,69,74,19.2
2010/2/24,1010,1012,1007.8,27.7,16.1,0,42,0.6,58,5.5,338,69,21.4
2010/2/25,1008.2,1010.1,1006.4,28.6,19.5,0,46,0.4,13,3.8,144,70,23.4
2010/2/26,1007.7,1010.1,1005.7,31.1,19.6,0,50,1.1,257,10.4,291,73,24.6
2010/2/27,1010.5,1014,1007.7,24.4,18.2,0,81,0.8,3,5.5,335,86,22
2010/2/28,1013.6,1015.9,1011.7,28.1,20.4,0,59,1.5,63,9.1,56,75,23.7
2010/3/1,1011.3,1013.8,1009,28.8,21.5,0,60,0.7,77,4.6,139,75,25
2010/3/2,1011.6,1013.8,1009.3,23.8,17.4,1.5,69,0.9,76,9.6,342,84,21.5
2010/3/4,1010.7,1011.9,1009.4,24.6,22.7,1,79,0.4,38,3.5,360,82,23.8
2010/3/5,1009.9,1012,1007.8,28,21.2,0,59,0.6,82,6.8,343,78,23.9
2010/3/6,1012.1,1015,1009.9,28,17.5,0,62,0.9,10,6.3,66,80,22.6
2010/3/7,1016.9,1018.6,1014.5,17.9,13.4,0,71,1.8,68,9.1,74,78,15.1
2010/3/8,1015.8,1018.3,1013,18.2,14.6,2.5,77,0.7,79,6,80,84,16.3
2010/3/9,1021.6,1025.8,1015.5,15.4,9.6,19,58,1.5,9,9.1,20,79,11.7
2010/3/10,1025.6,1027.8,1023.9,11.1,8.3,0,43,2.1,28,8.2,44,54,9.1
2010/3/11,1020.7,1024.1,1017.7,22.4,9,0,33,0.8,72,6,87,53,16.1
2010/3/12,1017.5,1020.5,1014.4,26.9,13,0,36,0.4,78,4.6,86,59,20.2
2010/3/13,1014.9,1018,1012.3,21.9,18.3,28,68,0.3,27,5.5,267,84,19.4
2010/3/14,1012.3,1014,1009.7,29.3,19.9,0,57,0.4,6,5.7,327,76,24
2010/3/15,1012.7,1017.6,1010.4,30.1,17.5,0,55,0.6,79,9.1,80,82,23.1
2010/3/16,1020.5,1021.4,1019.4,16.6,14.5,0.5,64,2.9,52,11,116,72,15.6
2010/3/17,1019,1020.5,1017.5,20.7,15.6,0,68,1.2,314,9.6,92,78,17.8
2010/3/18,1017.1,1019.5,1014.8,26.6,16.4,0,40,1.1,79,8,80,70,20.5
2010/3/19,1012.6,1015.6,1010.5,28.1,16.1,0,41,0.4,324,5.7,35,68,22.6
2010/3/20,1009.9,1012.3,1007.8,29.2,20,0,53,0.5,271,7.1,266,76,24.1
2010/3/21,1012.8,1015.3,1011.1,24.4,19.9,0,52,2.8,75,12.6,98,66,21.3
2010/3/22,1010.4,1012.8,1008.9,29.8,20.4,0,47,0.7,9,6.6,318,70,24.2
2010/3/23,1008,1010.3,1004.8,31,20.4,0,45,0.4,11,5.7,311,70,25.2
2010/3/24,1008.5,1010.4,1005.6,26.6,18.1,0,64,1.3,77,9.3,71,81,21.7
2010/3/25,1017.1,1021,1009.9,18.4,12.4,1,47,1.7,351,9.6,349,73,14.2
2010/3/26,1020.1,1022.6,1018.3,16.1,14.1,0,40,3,54,11,16,52,15.2
2010/3/27,1017.8,1020.5,1015.5,22.8,14.7,0,46,1.6,49,9.6,82,62,18.7
2010/3/29,1017.5,1020.8,1016,24.5,15.6,0,29,2.8,76,11.3,68,54,21.4
2010/3/30,1015.8,1018.1,1013.1,27.3,19.6,0,39,1.4,74,9.1,82,55,23
2010/3/31,1013.9,1015.8,1011.7,28.2,18.8,0,38,0.7,326,6.6,307,62,23.1
2010/4/1,1010.6,1013,1007.9,29.5,19.2,0,43,0.6,29,6.3,325,69,24.3
2010/4/2,1015.7,1018.7,1011.7,24.4,14.8,4.5,69,1.8,64,8.5,92,80,17.9
2010/4/3,1016.3,1018.7,1014.3,20.6,16.2,1,82,1.8,76,9.1,91,87,18.4
2010/4/4,1012.6,1014.4,1010.8,22.5,17.8,0,80,0.7,323,6.6,337,89,19.2
2010/4/5,1010.9,1012.7,1009.6,23.9,17.9,4,70,0.9,79,6.8,96,82,20.9
2010/4/6,1010.8,1014.9,1008.6,22.8,17.8,12,80,0.2,61,6.8,265,88,21.2
2010/4/7,1018,1020,1014.6,18.3,15.9,1,61,2,59,9.1,70,74,17.2
2010/4/8,1013.1,1018.3,1009.1,20.9,15.7,23,68,1.4,76,8.2,75,84,18.1
