ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Temperature,RHMin,Precp,WD,WSGust,WDGust,RH,WS
2010/1/1,1015.9,1019.2,1013.4,19.7,14.1,17,60,0,70,9.3,48,69,1.3
2010/1/2,1014.2,1016.9,1011.6,19.8,15.2,17.2,75,7.5,307,5.7,343,85,0.7
2010/1/3,1014.6,1017,1013.1,18.5,14.5,16.4,68,7.5,65,6,89,81,0.8
2010/1/4,1013.1,1014.9,1010.9,22,14.8,18,64,0,324,5.2,331,78,0.6
2010/1/5,1016.4,1019.2,1014.4,18.4,14.4,15.8,72,0,71,11.8,93,78,1.8
2010/1/6,1017.8,1019.9,1015.1,16.2,14.2,15.2,79,6.5,142,8,64,86,0.9
2010/1/7,1019.4,1021.9,1018,14.9,13.7,14.4,84,17.5,87,7.7,62,88,0.8
2010/1/8,1018,1019.9,1016.5,15.6,13.4,14.2,81,24,109,5.5,62,89,0.5
2010/1/9,1016,1017.8,1013.6,23.9,14.9,18.8,53,0,71,6.8,58,75,1
2010/1/10,1015.4,1017.6,1012.5,26,15.7,18.8,42,1,150,9.3,342,79,0.8
2010/1/11,1015.5,1018.2,1013.4,18.4,12.7,16.4,76,4.5,345,7.1,25,82,1.1
2010/1/12,1020.9,1024.4,1018.1,13.1,8.7,10.4,62,6,343,8,28,78,1.6
2010/1/13,1026,1028,1023.8,15.9,7.3,11.3,31,0,67,8,85,57,1.3
2010/1/14,1024.5,1027.6,1021.1,19.1,9.4,13.9,32,0,69,10.2,78,55,2.5
2010/1/15,1022,1023.8,1019.9,22.8,12.1,17.6,32,0,73,7.7,62,56,1.4
2010/1/16,1023.4,1025.3,1021.5,19,16.2,17.6,64,0,71,10.4,53,72,2
2010/1/17,1023.7,1025.5,1022,19.1,16.8,17.6,68,0,74,9.6,72,71,1.7
2010/1/18,1020.6,1023.2,1018.3,25.1,16.9,20.6,39,0,80,7.7,78,63,1.5
2010/1/19,1018.1,1020.8,1016.2,26.7,17,22.3,39,0,60,6.3,159,62,0.6
2010/1/20,1017.3,1019.2,1015.5,28.2,18.2,22.8,44,0,157,6.3,353,63,0.6
2010/1/21,1017.7,1021.9,1014.9,27.5,16.7,21.4,49,0,152,7.4,66,69,0.9
2010/1/22,1022.2,1023.7,1020.3,17.2,14.9,16,72,4.5,66,10.2,63,81,1.7
2010/1/23,1021.6,1023.9,1019.5,16.4,14.1,15.3,77,0.5,70,9.6,47,84,1.6
2010/1/24,1018.3,1020.9,1015.6,21.7,15.6,18.3,75,3,76,5.5,56,87,0.8
2010/1/25,1021,1025.5,1016,18.1,14.1,16.2,71,19.5,70,8.2,71,86,0.9
2010/1/26,1022.4,1025.9,1019.2,18.5,14.5,16.5,62,0,69,12.1,71,68,3.4
2010/1/27,1016.5,1019.4,1014.5,24.1,16,20.2,50,0,45,7.1,54,73,0.8
2010/1/28,1015.7,1017.7,1014.3,22.5,18.3,19.8,71,1.5,59,5.5,347,84,0.4
2010/1/29,1017.4,1020.6,1015.5,22.4,17.6,19.9,60,0,68,9.3,63,74,2.1
2010/1/30,1015.4,1017.8,1013.6,26.4,17.3,19.9,54,0,162,7.7,316,79,1.1
2010/1/31,1013.5,1015.3,1011.5,26.9,17.6,21.6,47,0,247,6.3,251,75,0.8
2010/2/1,1013.6,1016.1,1011.4,20.8,16.6,19,72,0,142,8.5,64,83,1.3
2010/2/2,1014.2,1015.8,1011.7,22,16.3,18.3,67,0,68,10.2,66,81,1.8
2010/2/3,1015.8,1018,1014.3,19.7,15.6,17.7,75,0.5,295,6,156,84,0.9
2010/2/4,1015.9,1018,1013.6,21.7,16.3,17.9,71,1,318,6.6,322,86,1
2010/2/5,1016.1,1017.7,1013.9,21.4,16.4,18,72,0,290,6,298,87,0.9
2010/2/6,1015.9,1017.6,1013.9,20.1,16.9,18.4,82,7,256,4.1,234,90,0.6
2010/2/7,1015.9,1018.1,1013.7,18.4,15.9,17.2,87,9,311,9.1,327,91,0.9
2010/2/8,1014.2,1016.9,1012.6,27.5,16.6,20.4,57,0,345,6.6,354,81,0.7
2010/2/9,1013.4,1016.5,1011.1,27,17.8,21.5,57,0,57,6.6,304,81,0.4
2010/2/10,1011.8,1014.2,1009.2,29.9,18.9,23.4,45,0,157,6,14,79,0.7
2010/2/11,1013.1,1018.3,1010.9,29.6,17,24,52,0,6,8.5,281,71,1.2
